week,Nord Stream_min,Nord Stream_max,Nord Stream_2021,Nord Stream_2022,Nord Stream_2023,Nord Stream_2024,Nord Stream_2025,Nord Stream_2026,Ukraine Gas Transit_min,Ukraine Gas Transit_max,Ukraine Gas Transit_2021,Ukraine Gas Transit_2022,Ukraine Gas Transit_2023,Ukraine Gas Transit_2024,Ukraine Gas Transit_2025,Ukraine Gas Transit_2026,"Yamal (BY,PL)_min","Yamal (BY,PL)_max","Yamal (BY,PL)_2021","Yamal (BY,PL)_2022","Yamal (BY,PL)_2023","Yamal (BY,PL)_2024","Yamal (BY,PL)_2025","Yamal (BY,PL)_2026",turkstream20,turkstream21,turkstream22,turkstream23,turkstream24,turkstream25,turkstream26
19,899,"1,193","1,194","1,194",,,,,892,"1,942",854,503,259,312,,,688,775,771,11,,,,,84,203,229,194,294,333,
20,883,"1,194","1,193","1,194",,,,,850,"1,921",850,359,270,308,,,627,774,770,,,,,,113,226,178,169,335,311,
21,883,"1,194","1,193","1,191",,,,,848,"1,832",854,300,269,308,,,502,775,771,,,,,,109,211,158,138,372,329,
22,880,"1,194","1,193","1,140",,,,,849,"1,835",854,284,230,340,,,166,776,770,,,,,,103,245,159,149,362,324,
23,875,"1,193","1,193","1,041",,,,,929,"1,784",850,285,249,332,,,339,775,768,,,,,,84,238,162,1,65,330,
24,874,"1,196","1,189",589,,,,,935,"1,776",840,281,181,331,,,488,776,701,,,,,,120,231,195,229,318,46,
25,875,"1,195","1,188",478,,,,,928,"1,782",831,280,268,336,,,607,768,767,,,,,,117,261,34,256,357,311,
26,886,"1,194","1,109",478,,,,,982,"1,801",833,282,271,343,,,615,712,768,,,,,,36,70,229,261,353,350,
27,883,"1,194","1,139",478,,,,,931,"1,871",782,274,264,305,,,528,761,767,,,,,,129,244,256,298,344,353,
28,900,"1,203","1,149",6,,,,,916,"1,862",759,272,252,309,,,243,744,426,,,,,,125,270,317,324,341,342,
29,162,921,151,271,,,,,917,"2,095",758,274,240,315,,,700,774,771,,,,,,130,269,323,320,348,360,
30,5,914,489,301,,,,,914,"2,087",758,268,227,320,,,645,774,770,,,,,,124,266,321,331,343,379,
31,891,"1,163","1,173",234,,,,,815,"1,860",755,261,235,306,,,640,772,714,,,,,,106,263,289,349,342,370,
32,127,"1,221","1,189",236,,,,,608,"2,020",752,263,254,290,,,331,772,470,,,,,,126,252,293,333,322,331,
33,117,"1,195","1,182",236,,,,,626,"2,058",743,266,248,295,,,519,776,358,,,,,,106,252,316,335,329,351,
34,408,"1,194","1,184",236,,,,,637,"2,074",736,270,258,293,,,379,775,417,,,,,,125,248,317,363,340,356,
