,Estrategia,Score Total
1,PAVLOV,34.62582519647981
2,GRIM,34.212741974075975
3,TIT FOR TAT,33.911894329185294
4,FRIEDMAN,33.57597868928857
5,GRADUAL,33.426642042837074
6,MEMORY-3,32.43363453063185
7,TIT FOR TWO TATS,31.69404558081694
8,ADAPTIVE,29.25694535947651
9,JOSS,28.464994973491788
10,EVOLVED-NN,28.2016979062543
11,ALL-C,27.614450543975174
12,PSO-PLAYER,25.241777875339228
13,ALL-D,25.176773263876008
14,RANDOM,25.110439649676863
15,TESTER,24.799986177911943
